Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2016,December,3 Southern Metro, Mornington Peninsula,12008,7434
2016,December,3 Southern Metro, Port Phillip,13634,12551.2
2016,December,3 Southern Metro, Stonnington,11597,10447.5
2016,December,3 Southern Metro,Total,130582,8695.7
2016,December,4 Western, Ararat,1181,10055.3
2016,December,4 Western, Ballarat,12089,11680.2
2016,December,4 Western, Buloke,230,3660.1
2016,December,4 Western, Campaspe,3849,10238.1
2016,December,4 Western, Central Goldfields,1508,11522.9
2016,December,4 Western, Colac-Otway,1996,9343.7
2016,December,4 Western, Corangamite,959,5904.1
2016,December,4 Western, Gannawarra,612,5791.6
2016,December,4 Western, Glenelg,1675,8477.1
2016,December,4 Western, Golden Plains,865,3929
2016,December,4 Western, Greater Bendigo,10854,9668
2016,December,4 Western, Greater Geelong,22963,9586.7
2016,December,4 Western, Hepburn,917,5906.6
2016,December,4 Western, Hindmarsh,370,6397
2016,December,4 Western, Horsham,2824,14202.4
2016,December,4 Western, Loddon,478,6324.4
2016,December,4 Western, Macedon Ranges,2456,5172.7
2016,December,4 Western, Mildura,6518,11925.1
2016,December,4 Western, Moorabool,2534,7755.9
2016,December,4 Western, Mount Alexander,1289,6749.8
2016,December,4 Western, Moyne,646,3859.7
2016,December,4 Western, Northern Grampians,1349,11659.5
2016,December,4 Western, Pyrenees,561,7668.1
2016,December,4 Western, Queenscliffe,143,4882.2
2016,December,4 Western, Southern Grampians,1350,8373.1
2016,December,4 Western, Surf Coast,1352,4437.9
2016,December,4 Western, Swan Hill,2224,10643.2
2016,December,4 Western, Warrnambool,3246,9479.6
2016,December,4 Western, West Wimmera,187,4749.8
2016,December,4 Western, Yarriambiack,440,6525.3
2016,December,4 Western,Total,87665,9060.3
2016,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1636,
2016,December,Justice Institutions and Immigration Facilities,Total,1636,
2016,December,Unincorporated Vic, Unincorporated Vic,137,
2016,December,Unincorporated Vic,Total,137,
2015,December,1 North West Metro, Banyule,9232,7321.9
2015,December,1 North West Metro, Brimbank,19233,9575.3
2015,December,1 North West Metro, Darebin,15338,10092.5
2015,December,1 North West Metro, Hobsons Bay,6897,7523.4
2015,December,1 North West Metro, Hume,20497,10342.8
2015,December,1 North West Metro, Maribyrnong,8680,10237.9
2015,December,1 North West Metro, Melbourne,34401,25133.7
2015,December,1 North West Metro, Melton,11017,8165.9
2015,December,1 North West Metro, Moonee Valley,9619,8000.4
2015,December,1 North West Metro, Moreland,14046,8367.2
2015,December,1 North West Metro, Nillumbik,3022,4746
2015,December,1 North West Metro, Whittlesea,13733,6976.5
2015,December,1 North West Metro, Wyndham,14317,6696
2015,December,1 North West Metro, Yarra,12955,14406.8
2015,December,1 North West Metro,Total,192987,9758.1
2015,December,2 Eastern, Alpine,489,3934.3
2015,December,2 Eastern, Bass Coast,2791,8567.7
2015,December,2 Eastern, Baw Baw,3771,7883
2015,December,2 Eastern, Benalla,1150,8259.7
2015,December,2 Eastern, Boroondara,7453,4264.9
2015,December,2 Eastern, East Gippsland,4193,9345.2
2015,December,2 Eastern, Greater Shepparton,7652,11865.6
2015,December,2 Eastern, Indigo,515,3234.5
2015,December,2 Eastern, Knox,10122,6378.1
2015,December,2 Eastern, Latrobe,13270,17868.2
2015,December,2 Eastern, Manningham,4382,3627.9
2015,December,2 Eastern, Mansfield,414,4853.5
2015,December,2 Eastern, Maroondah,7780,6883.6
2015,December,2 Eastern, Mitchell,4118,10227.5
2015,December,2 Eastern, Moira,1538,5251.3
2015,December,2 Eastern, Monash,10097,5337.4
2015,December,2 Eastern, Murrindindi,647,4672.2
2015,December,2 Eastern, South Gippsland,1343,4666.3
